threads,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47,time48,time49,time50,time51,time52,time53,time54,time55,time56,time57,time58,time59,time60,time61,time62,time63,time64,time65,time66,time67,time68,time69,time70,time71,time72,time73,time74,time75,time76,time77,time78,time79,time80,time81,time82,time83,time84,time85,time86,time87,time88,time89,time90,time91,time92,time93,time94,time95,time96,time97,time98,time99,time100
1,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
2,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
3,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
4,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
5,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
6,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
7,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
8,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
9,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
10,1.226,1.282,1.237,1.317,1.347,1.229,1.226,1.252,1.262,1.239,1.261,1.231,1.207,1.285,1.277,1.21,1.212,1.242,1.214,1.269,1.251,1.25,1.241,1.29,1.242,1.266,1.207,1.232,1.202,1.255,1.228,1.231,1.253,1.237,1.207,1.257,1.202,1.211,1.201,1.21,1.196,1.216,1.25,1.277,1.263,1.219,1.231,1.237,1.266,1.264,1.341,1.236,1.228,1.254,1.235,1.261,1.294,1.293,1.245,1.228,1.287,1.237,1.33,1.299,1.28,1.217,1.281,1.288,1.23,1.219,1.218,1.229,1.233,1.203,1.2,1.222,1.207,1.223,1.199,1.221,1.23,1.258,1.298,1.256,1.229,1.247,1.242,1.241,1.296,1.309,1.353,1.285,1.272,1.264,1.342,1.306,1.316,1.241,1.23,1.246
